timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1682885758855,87303,HTTP Request,Non HTTP response code: org.apache.http.TruncatedChunkException,"Non HTTP response message: Truncated chunk (expected size: 611,692; actual size: 38,507)",Thread Group 1-23,text,false,,1299,0,60,60,https://www.daraz.com.bd/,1023,0,769
1682885763530,91058,HTTP Request,Non HTTP response code: org.apache.http.TruncatedChunkException,"Non HTTP response message: Truncated chunk (expected size: 652,640; actual size: 107,483)",Thread Group 1-51,text,false,,1300,0,59,59,https://www.daraz.com.bd/,2049,0,1788
1682885760022,98323,HTTP Request,Non HTTP response code: org.apache.http.TruncatedChunkException,"Non HTTP response message: Truncated chunk (expected size: 636,258; actual size: 152,699)",Thread Group 1-30,text,false,,1300,0,58,58,https://www.daraz.com.bd/,2070,0,1077
1682885762028,105985,HTTP Request,200,OK,Thread Group 1-42,text,true,,741173,118,57,57,https://www.daraz.com.bd/,6599,0,6351
1682885756684,113247,HTTP Request,200,OK,Thread Group 1-10,text,true,,741198,118,56,56,https://www.daraz.com.bd/,1706,0,1262
1682885758186,113014,HTTP Request,200,OK,Thread Group 1-19,text,true,,741166,118,55,55,https://www.daraz.com.bd/,2281,0,1722
1682885756349,115935,HTTP Request,200,OK,Thread Group 1-8,text,true,,741165,118,54,54,https://www.daraz.com.bd/,2250,0,1598
1682885756020,117886,HTTP Request,200,OK,Thread Group 1-6,text,true,,741188,118,53,53,https://www.daraz.com.bd/,1999,0,1916
1682885755766,120928,HTTP Request,200,OK,Thread Group 1-1,text,true,,741195,118,52,52,https://www.daraz.com.bd/,2307,0,2179
1682885761192,117990,HTTP Request,200,OK,Thread Group 1-37,text,true,,741166,118,51,51,https://www.daraz.com.bd/,4044,0,762
1682885764701,115069,HTTP Request,200,OK,Thread Group 1-58,text,true,,741176,118,50,50,https://www.daraz.com.bd/,999,0,740
